"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Top_Dawg_Critic","11 July 2017","I don't want to give much away, but of all of the X-Men ever made, this is one of my favorites!The additional cast was concerning, but overall actually added to this film.Of course the rest of the usual cast were on point as usual, but what made this movie different than the others, was not the battle of good vs evil, but the timeline differences and the new cast's involvement.A great addition to the X-Men franchise, and a 9/10 from me!","
            9/10
            "
"thepriceofpayne","10 June 2019","By brilliantly combining the original cast and our new first class crew, all while telling a classic comic book storyline and giving it JUSTICE. ""X-Men: Days of Future Past"" gives us everything we love about this franchise and more, with great performances all around and giving us a magnificent hybrid conclusion/beginning that sets the stage for what's yet to come.","
            9/10
            "
"TheLittleSongbird","27 July 2014","The first X-Men was a good, fun, well-made start to the series, though with a yet-to-find-its-feet feel. That was found with X2, which turned out to be bigger, darker and even better. X-Men The Last Stand I didn't find quite as terrible as its reputed to be but it was very disappointing and a big step-down, it had its moments like the visuals, some good performances and the action but suffered from too much going on, a script that was sorely lacking and too many characters that were largely underdeveloped and out of character. X Men Origins: Wolverine was just as disappointing and with very similar pros and cons to The Last Stand. The Wolverine was a definite improvement but still had a fair share of flaws. And First Class was excellent. I was hugely excited for Days of Future Past because the cast is such a good one and the return of Bryan Singer promised much. And Days of Future Past didn't disappoint at all. It is a visually very stylish film that has an even darker and more audacious feel than the rest of the films in the series, the special effects are of great quality and everything looks very slick. The score is the best since the one for X2 in terms of memorability and how it fits and the script is the sharpest since X2 as well and is probably the best and most well-balanced script of all the X-Men films put together. There's a bit of humour that is subtle and genuinely funny, not feeling overly-broad or overkill, while there are plenty of suspenseful and emotional parts. Bryan Singer makes a triumphant come-back, the action sequences really thrill especially the battle between past and future X-Men to stop annihilation while the drama resonates. Great also was the quietly powerful tete-a-tete between the two Xaviers. There is a fair bit going on and there are a lot of characters, but the solid pacing, chemistry between the characters/actors and how well everything's balanced in the writing makes the story thrilling yet with plenty of space to allow you to feel emotion, and for the amount of characters there are here a vast majority of the characters have real personality and soul(plus they're treated with respect), something which Last Stand and Origins did not do. The cast are spot on, Hugh Jackman is grizzled and charismatic while bringing the subdued quality he brought to The Wolverine and Jennifer Lawrence is surprisingly good as Mystique(blue is definitely not the warmest colour with her), the transformation sequences are as eye-popping as they were in X2. James McAvoy gives one of his better performances here and Michael Fassbender is suave and calculating. As the older versions of Professor X and Magneto, Patrick Stewart and Ian McKellen make a welcome return, Stewart is cool and McKellen is menacing yet with a sympathetic quality, Magneto is much more than a one-dimensional villain(a mistake Last Stand made and that the first two films did not). Evan Peters is excellent too as Quicksilver, like how Alan Cumming's Nightcrawler almost stole the show in X2 Peters' Quicksilver almost did here, a definite scene stealer. Nicholas Hoult is fine as Beast and is very well made-up, but Kelsey Grammar for me was a touch better, and Halle Berry gives her, by far, best performance of the series(the only time she really made an impression as Storm, who's also developed best). My only complaint for Days of Future Past is the cop-out ending(outside of the action), other than that it was a brilliant film that was not only the best X-Men film since the second but a big contender for the best of the series. 9/10 Bethany Cox","
            9/10
            "
"MrGilgamesh","12 February 2020","Seamlessly blending old and new elements of the franchise together in one delightful package, X-Men: Days of Future Past combines emotional drama, exhilarating action, and surprising humor to create a wholly satisfying experience that ranks among the finest in the franchise.","
            8/10
            "
"SnoopyStyle","4 February 2015","In the future, the world is devastated by constant war. Sentinels are robots created to hunt mutants. Xavier and Magneto team up with a plan to change history. Kitty Pryde sends Wolverine (Hugh Jackman) 50 years into the past to 1973. He has to find Xavier (James McAvoy), free Magneto (Michael Fassbender) and recruit them in a mission to stop the Sentinel program before it starts. They have to stop Mystique (Jennifer Lawrence) who tries to kill weapons designer Trask (Peter Dinklage).This is a compelling sci-fi thriller achieving one of the most seamless transition from an old cast to the new. The story is terrific. It introduces Quicksilver as a fresh injection of fun. That's probably the only minor complaint. It needs a bit more fun to offset the serious tones. It's not really a complaint. OK! Forget about it. The new cast is set to take off in place of the old.","
            9/10
            "
"gogoschka-1","11 May 2014","I must admit, the trailers didn't have me convinced - and after the sour taste 'Jack the Giant Slayer' left in my mouth, I was sceptic. I really dug Matthew Vaughn's approach with 'First Class' (who had a tough task rebooting the franchise after the lacklustre 'Last Stand' and the generic, dull 'X-Men Origins: Wolverine') and I wouldn't have minded him returning at all. But as it turns out, Bryan Singer (yes, I dare speak his name) still has a few tricks up his sleeve. For its sheer scale and epic storytelling alone, 'Days of Future Past' is fantastic.It's a shame there's so much controversy surrounding this film, but I guess whoever chooses to deprive himself willingly of such a pleasure must be fully aware that he does so at his own expense. Because this is the kind of film that made me fall in love with movies in the first place.Yet (despite my 10-star review), it's not perfect. And it's not 'The Usual Suspects' with mutants - how could it be; this is simply not that kind of film. But I have to say that pretty much my only gripe with this movie is that it has too many characters and that some of them don't get enough screen time (or actually, there's not too many characters: there's just too many great actors playing those characters – but then again, that's half of the fun). Of all the X-men films, this has the most complex plot – and also the most interesting. Different time-lines are tricky to do and can be rather hard to follow, but thanks to a (very!) clever script with a great part for Logan, we never get lost. And that's the best news: sorely missed in the last instalment (except for a hilarious cameo), the franchise has Hugh Jackman back. And of him at least we do get to see a lot, since he really leads us through this film (giving his best Wolverine performance yet along the way). If Logan can be called the heart of the X-men, then Charles Xavier must be the mind while Magneto and Mystique provide the - slightly twisted - soul, and seeing them all together again brought a broad, stupid grin to my face (which only got broader whenever Quicksilver appeared on screen - for reasons you will have to find out for yourselves). What really sets the X-men films apart from the ever more derivative comic-book adaptations – at least as far as I'm concerned – is that I always genuinely cared for the characters, and 'Days of Future Past' is no exception. I love loud, spectacular action movies as much as the next guy, but if I don't get to care for the protagonists – what's the point? The reason I gave this 10 stars, and what is so exceptional these days, is that what we get here is a complex, smart Fantasy/Sci-Fi thrill-ride that respects its origins as much as it embraces the future, while never - ever - forgetting that its first job is to entertain the audience. For finding that perfect, rare balance between character-driven human drama and no-holds-barred popcorn action spectacle, 'Days of Future Past' deserves my 10-star rating (which is a first for me: I've never given 10-stars to a comic-book movie).So my verdict: If you like to get your minds blown by something with true heart and soul, this massive 'mutant' of a film is upon you, and all you have to do is give in to the X-citement. Enjoy the ride.Favorite Films: http://www.imdb.com/list/ls054200841/","
            10/10
            "
"shawneofthedead","16 May 2014","With its mind-boggling premise and jaw-dropping cast, X-Men: Days Of Future Past blasts into cinemas bearing the weight of great expectations. Surely this mash-up of X-Men past and future has the potential to be the best superhero blockbuster our world will ever see? Well, yes and no.To be strictly objective, Days Of Future Past can occasionally come off as a little too earnest, its enormous cast of characters getting somewhat lost in the grinding of its narrative gears. But, when it works (which is most of the time), Days Of Future Past comes pretty darn close to nerdvana – this is a smart, rich film that effectively mines its source material (both the movies and Chris Claremont's classic 1981 storyline in the comic books) and its incredible cast for emotion, power and depth.Flash forward to the bleakest of futures. X-Men we have known – led by perennial frenemies Professor Charles Xavier (Patrick Stewart) and Erik Lensherr/Magneto (Ian McKellen) – are being hunted mercilessly by a horde of intelligent, death-mongering robots known as Sentinels. With little hope for survival, the desperate X-Men decide to send Wolverine (Hugh Jackman) back in time to the 1970s. There, he must find the younger Charles (James McAvoy) and Erik (Michael Fassbender) – several years estranged after the traumatic events of X-Men: First Class – and get them to change the future before it can happen.Sounds simple enough? Not really. Days Of Future Past frequently threatens to fall foul of its complicated puzzle-box of a narrative, one that involves time travel, quantum physics and a swirling mess of characters, action and motivations. There's Dr. Bolivar Trask (Peter Dinklage), creator of the Sentinel programme, whose assassination in the past by Charles' pseudo-sister Raven (Jennifer Lawrence) brings about the dystopia of the future. There are prison breaks, astral projections, and several grisly mutant deaths. Truthfully, this incredibly ambitious mix of character, plot and spectacle could very easily go horribly wrong.What's so impressive about director Bryan Singer's return to the franchise is how well he weaves all the disparate threads of his narrative together. This is emphatically not the Singer who gave us mediocre misfires like Superman Returns and Jack The Giant Slayer. Rather, this is the work of the Singer who made his mark with films like X1, X2 and The Usual Suspects, all of which featured a masterful blend of wit and wisdom, character and story.In Days Of Future Past, Singer skilfully plays on the schism that opened up between Erik and Charles at the end of First Class to add welcome depths of emotion to the high stakes already in play. The deep, difficult relationship between the two men has always been the fulcrum of the series, and Singer allows it to breathe and grow. With the help of McAvoy and Fassbender (not to mention Stewart and McKellen), some of the best actors in the business, the director makes it possible to believe that resentment can give way to forgiveness, and vice versa, often in the blink of an eye. McAvoy, in particular, gives a shudderingly good performance as a man called upon to help others when he's lost his own way.With such an enormous revolving cast of characters, Singer even manages to give many – though not all – of them their hearts and souls. (Alas, Storm/Ororo, we will never know ye!) Thrust into the unlikely role of mentor to the broken, heartsore Charles, Wolverine must find a different sort of strength and ingenuity within himself. Jackman plays the role beautifully, anchoring the two timelines with charm and gravitas. Though still something of an awkward fit for her part, Lawrence, too, plays Raven's dilemma very well, as she wavers between Charles' offer of hope and Erik's often bloody single-mindedness.But Days Of Future Past doesn't just mire itself in the toss and tumble of its characters' emotional journeys. Singer throws in a few crackerjack action sequences, opening the film with a heart-stopping massacre that very effectively underscores the dire threat posed by the Sentinels of the future. Crucially, Singer also finds the time and space within the darkest shadows of his story to have a little fun, judiciously tossing quips and sight gags into the mix – particularly in a tour de force prison break sequence, in which the preternaturally speedy Pietro Maximoff (Evan Peters), better known to comic aficionados as Quicksilver, literally runs away with the entire show.Make no mistake about it, this is a behemoth of a film that won't go down well with everybody. Newbies will almost certainly find themselves lost, bewildered, and perhaps even bored. Singer's tale sprawls in so many directions that, if you're not at least marginally invested in the characters, it could prove to be a trying experience.But, for everyone else, ranging from casual fans to enthusiasts and obsessives, Singer and screenwriter Simon Kinberg have crafted something truly remarkable. Steeped in history and lore, both of the cinematic and comic-book variety, Days Of Future Past feels like a dark love letter to the spirit of that original band of mutants and the message of hope, tolerance and humanity that has always accompanied their attempts to find their place on Earth.Most remarkably of all, Days Of Future Past practically radiates a bravery and freshness that you'd never expect from the seventh film in a blockbuster franchise. Instead of playing it safe and sound, Days Of Future Past mashes up past, present and future, sweeping up a lot of what has been taken for granted in the X-Men cinematic universe and, well, chucking it out of the proverbial window. The ending of this film truly opens up an intriguing plethora of narrative possibilities that stretch in any and all directions. On the strength of this outing, that's something to be anticipated, rather than feared.","
            9/10
            "
"Hitchcoc","30 May 2014","I've seen them all because my son and I like to go to these big movies. Every time one comes out, I've forgotten who's who and what's what. This is of a different generation. What I see here is masterful storytelling, dynamic characters whose purpose isn't just to beat to a pulp or incinerate their opponents, but a culture that has developed around mutations at war with the people for whom they are saviors. Time travel can be quite touchy and this needs to be treated with kid gloves. The story begins in the present where things have gone badly for the recurring characters and their ilk. A race of killer robots has been launched against them and it becomes necessary for them to find a way to mutate time in order to prevent the killing of a man who has used the DNA a of Mystique to create these devils. Wolverine is chosen to go back because he is the one most capable of withstanding the perils of the trip. He must get a group the mutants to act on faith since they have no idea who he is. So much has been written, so what I will say that what follows is an amazing series of scenes filled with tension, humor, and clever intricacies of plot. There is a scene where a football stadium is uprooted and brought down around the White House (Nixon's White House) and used a prison enclosure. I will leave the long dramatic explanations of events to others. I really enjoyed this film.","
            9/10
            "
"IPyaarCinema","8 March 2021","Review By Kamal KQuite possibly the best of the X-Men franchise, both original and prequel reboots. The acting was amazing for a Sci-fi movie. James McAvoy's performance here was really good. The McAvoy/Stewart scene was pretty epic. I wish this was the last of the X-Men movies cause it was such a great bookend...but sadly they made more...crappy ones. Fight scenes were very good. Showcasing different powers were done well. Seeing the old X-men was very nostalgic and seeing their fates at the end was very heartbreaking if you ever watched the previous movies before the prequels.","
            10/10
            "
"beobnoxious","21 June 2019","Days of future Past in my opinion reigns as one of the greatest movies of all time.I said this immediately after seeing the film I say this now years later 8.0 and climbing.This is an epic adventure you will be on the edge of your seat it's storytelling at its best a complete sinematic master piece.Just go see it.","
            8/10
            "
